"validName","species","max_lat","min_lat","med_lat","bio1_range","bio1_sd","bio1_mean","dietBreadth","voltinism","minWingspan","maxWingspan","notes","geoPF","notes.1","X"
"Hypsopygia binodulalis","Hypsopygia binodulalis",41.0300322,29.6766152,33.411658,21.54166698,4.047265816,15.93818584,"unk","multi",10,12,"TL","p","",""
"Hypsoropha hormos","Hypsoropha hormos",38.9544407,30.3978789,34.95079,17.12916708,2.640154434,15.74477252,"Genus","multi",14,18,"TL","p","",""
"Hypsoropha monilis","Hypsoropha monilis",36.0933104,30.2926357,33.1444545,10.53750038,2.096845184,17.04113598,"Genus","uni",17,22,"TL","p","",""
"Idaea tacturata","Idaea tacturata",33.6291271,28.557051,30.697359,23.15833378,2.300925719,19.05624386,"unk","multi",13,21,"TL","p","",""
"Idia aemula","Idia aemula",45.3626262,32.8569922,41.144574,27.9958334,4.561419095,10.77581604,"detritus","multi",13,14,"TL","","",""
"Idia americalis","Idia americalis",46.770346,32.795998,41.426884,25.50833344,4.802906502,10.44586943,"detritus","multi",13,14,"TL","","",""
"Idia julia","Idia julia",44.35763626,33.2629622,38.833017,18.80416584,3.875420042,12.50840412,"multiFamily","multi",11,13,"TL","p","",""
"Idia lubricalis","Idia lubricalis",45.3053658,33.0608002,42.160645,23.56666666,4.377398242,9.998956772,"detritus","multi",18,21,"TL","","",""
"Idia rotundalis","Idia rotundalis",46.2082514,33.1731388,42.3401965,22.16250002,4.866430816,10.06374996,"detritus","multi",11,13,"TL","","",""
"Ilexia intractata","Ilexia intractata",39.1623745,30.3558056,34.740742,15.70833397,3.049201484,15.82888364,"Genus","multi",22,25,"WS","p","",""
"Iodopepla u-album","Iodopepla ualbum",45.1357858,30.3536736,41.381,19.20416689,5.676301748,11.84856005,"Genus","multi",18,18,"TL","p","missing?","Iodopepla ualbum"
"Iridopsis defectaria","Iridopsis defectaria",39.11221,27.6692552,32.71966,22.14166784,3.682184624,17.3048513,"multiFamily","multi",24,36,"WS","","",""
"Iridopsis vellivolata","Iridopsis vellivolata",45.3740762,31.474398,39.627119,22.70416629,5.166302725,11.91690976,"Family","multi",30,36,"WS","","",""
"Isa textua","Isa textula",43.132181,30.5883,39.035638,18.04999971,4.210315088,12.74030137,"multiFamily","multi",9,16,"TL","p","missing?","Isa textula"
"Isogona tenuis","Isogona tenuis",39.056334,29.163844,32.673707,19.06249905,3.411528247,17.40302371,"Genus","multi",13,16,"TL","p","",""
"Isturgia dislocaria","Isturgia dislocaria",39.0939726,29.3820479,30.4545605,17.80833435,3.393414301,18.13721003,"Genus","uni",30,38,"WS","p","",""
"Lacosoma chiridota","Lacosoma chiridota",42.5792326,30.5913876,36.99374,16.09583282,4.060054358,13.75633948,"Genus","multi",20,32,"WS","p","",""
"Lambdina pultaria","Lambdina pultaria",33.0943888,28.5974432,29.668889,5.883333206,1.854357635,19.68377194,NA,"uni",NA,NA,NA,"p","","Ellopia pultaria"
"Lapara coniferarum","Lapara coniferarum",40.085478,29.7223764,35.07731,17.41250086,3.7963853,15.51158019,"Genus","multi",30,35,"TL","p","",""
"Lascoria ambigualis","Lascoria ambigualis",44.2321116,32.835154,39.524503,20.03750014,3.954305569,11.27860857,"multiFamily","multi",12,14,"TL","p","",""
"Ledaea perditalis","Spargaloma perditalis",43.4316128,30.2903912,38.21972,19.0291667,4.832402994,13.22691955,"Species","multi",13,16,"TL","p","",""
"Lesmone detrahens","Lesmone detrahens",38.240116,28.535761,32.964854,19.66666651,3.570592982,17.40205592,"Genus","multi",27,31,"WS","p","",""
"Leucania adjuta","Leucania adjuta",39.2058111,27.5720209,32.9588005,18.97916555,4.263390243,17.05715636,"Family","multi",18,20,"TL","","",""
"Leucania incognita","Leucania incognita",32.336755,26.159806,28.028619,21.78333282,2.665869147,20.76861625,"multiFamily","multi",18,21,"TL","p","",""
"Leucanopsis longa","Leucanopsis longa",35.438876,27.183236,32.2678695,10.5666666,3.022293744,18.81318658,"Family","multi",22,25,"TL","","",""
"Lithacodes gracea","Lithacodes gracea",32.6046885,26.1751172,30.179032,7.795833588,2.14576061,20.37312498,"unk","multi",12,14,"TL","p","",""
"Litoprosopus futilis","Litoprosopus futilis",32.7944278,26.1809074,28.376774,17.79166603,2.161865756,21.10004473,"Genus","multi",22,25,"TL","p","",""
"Lobocleta ossularia","Lobocleta ossularia",38.0975658,27.649033,31.448202,18.03749943,3.242763427,17.98302538,"multiFamily","multi",13,19,"WS","p","missing?",""
"Lochmaeus bilineata","Lochmaeus bilineata",44.3259537,30.0954042,35.096803,20.89166665,4.995421294,14.25351541,"multiFamily","multi",18,23,"TL","","",""
"Lochmaeus manteo","Lochmaeus manteo",44.2544777,30.5445191,37.4288285,21.85416663,4.581155071,12.9211291,"Family","multi",20,27,"TL","","",""
"Lophosis labeculata","Lophosis labeculata",37.2581694,29.3642778,32.574131,17.18333244,3.255039133,17.29462169,"unk","multi",12,14,"WS","p","missing?",""
"Lycia ypsilon","Lycia ypsilon",37.0785092,28.9014646,30.247225,15.30416727,2.918305542,18.74236724,"multiFamily","uni",30,35,"WS","p","",""
"Macaria aequiferaria","Macaria aequiferaria",38.4376795,29.8430976,33.1007165,17.22499895,3.330936176,17.18066441,"Family","multi",22,28,"WS","p","",""
"Macaria bisignata","Macaria bisignata",44.5714865,35.6459992,41.6542885,19.32083273,3.233811633,9.999511719,"Genus","multi",26,34,"WS","p","",""
"Macaria distribuaria","Macaria distribuaria",39.681106,29.6359965,31.507125,15.59166622,3.119131152,17.83068633,"Genus","multi",30,40,"WS","p","",""
"Malacosoma americana","Malacosoma americana",45.0889508,32.7110134,39.148472,32.65416622,4.481250483,11.69416927,"multiFamily","single",15,24,"TL","","",""
"Malacosoma disstria","Malacosoma disstria",47.386338,29.732585,38.500033,25.87916589,6.533407385,12.39896787,"multiFamily","single",17,21,"TL","","",""
"Marathyssa inficita","Marathyssa inficita",45.1601968,30.6082063,39.6981105,20.24166656,5.025668916,11.70223707,"Genus","multi",14,17,"TL","p","",""
"Megalopyge crispata","Megalopyge crispata",40.8612373,30.450912,38.1724465,17.12499952,3.312464367,13.6857802,"multiFamily","multi",13,20,"TL","p","",""
"Megalopyge opercularis","Megalopyge opercularis",34.0229563,26.0823257,30.1986145,16.11250019,2.624157987,19.72609578,"multiFamily","multi",13,19,"TL","","",""
"Megalopyge pyxidifera","Megalopyge pixidifera",30.7584,26.502045,29.412633,5.479166031,1.608518808,21.26825763,"multiFamily","multi",14,17,"TL","p","missing?","Megalopyge pixidifera"
"Melanolophia canadaria","Melanolophia canadaria",43.6268629,33.261667,39.1343175,20.04166782,3.702520799,11.9996056,"multiFamily","multi",36,39,"WS","p","",""
"Metalectra discalis","Metalectra discalis",44.3217504,30.749,39.0094,25.82499957,4.760939716,12.5332603,"multiFamily","multi",20,27,"WS","p","",""
"Metallata absumens","Metallata absumens",34.3597202,13.585136,28.385194,17.74166679,3.863832117,21.42532898,"unk","multi",33,40,"WS","p","",""
"Metarranthis homuraria","Metarranthis homuraria",40.2601011,31.3981658,34.906812,12.68333244,3.194392413,14.78676699,"unk","multi",26,32,"WS","","",""
"Metarranthis obfirmaria","Metarranthis obfirmaria",44.677628,30.6375878,40.660363,17.86666608,4.747344137,11.43123135,"Genus","uni",26,36,"WS","p","",""
"Metria amella","Metria amella",32.0053765,27.648977,30.001289,11.58750057,1.702891632,20.14661843,"Genus","multi",20,22,"TL","p","",""
"Mocis disseverans","Mocis disseverans",30.3854726,9.6639284,27.672291,12.72916698,2.346391196,22.34793232,"Family","multi",22,26,"TL","p","",""
"Mocis latipes","Remigia latipes",32.5681044,9.7779386,27.587418,30.8708334,3.647395277,21.16745737,"Family","multi",19,23,"TL","","",""
"Mocis marcida","Remigia marcida",33.1298635,27.6553385,30.233876,15.4958334,1.961340178,19.67537657,"Family","multi",24,26,"TL","","",""
"Euclea semifascia","Monoleuca semifascia",37.63352,28.8211432,32.193783,14.64166641,3.100733328,18.05260012,"multiFamily","multi",8,12,"TL","p","missing?","Monoleuca semifascia"
"Morrisonia mucens","Achatia mucens",33.0169726,28.8107978,30.294787,12.02916622,1.945615994,19.29111552,"unk","multi",17,20,"TL","p","",""
"Mythimna unipuncta","Mythimna unipuncta",46.15693,30.42,39.643462,33.5999999,4.840068809,12.96812814,"multiFamily","multi",20,25,"TL","p","",""
"Nadata gibbosa","Nadata gibbosa",47.3813837,33.14768,40.305102,29.20833349,4.588845035,10.91624265,"multiFamily","multi",20,30,"TL","","",""
"Natada nasoni","Natada nasoni",39.5278268,30.52132,35.544519,14.7541666,2.980018384,14.8812352,"multiFamily","multi",10,15,"TL","p","",""
"Nematocampa resistaria","Nematocampa resistaria",47.2980906,30.310839,43.334148,28.19583344,5.426367523,9.525707623,"multiFamily","multi",19,25,"WS","","",""
"Nemoria lixaria","Nemoria lixaria",39.7684912,29.1421066,35.1524,17.66666698,3.531426012,15.87119363,"Genus","multi",22,32,"WS","p","",""
"Nepytia semiclusaria","Nepytia semiclusaria",35.8112786,29.6686252,32.674486,11.10416698,2.71589823,17.25284087,"Genus","uni",36,36,"WS","p","",""
"Norape cretata","Norape cretata",39.096294,32.045027,37.0077935,14.07499886,2.678584185,14.53511466,"multiFamily","uni",12,18,"TL","p","",""
"Norape ovina","Norape ovina",35.9530222,7.8926824,28.118799,20.02499962,4.395168182,19.92227411,"multiFamily","multi",12,18,"TL","","",""
"Ogdoconta cinereola","Ogdoconta cinereola",43.651184,30.1586304,35.867411,21.04166746,4.902977359,14.12457436,"Family","multi",12,13,"TL","p","",""
"Omphalocera munroei","Omphalocera munroei",38.9282462,29.464576,36.6264,11.39583302,3.36742654,15.9031385,"Genus","multi",13,18,"TL","p","",""
"Orgyia definita","Orgyia definita",45.075299,35.2374768,41.727101,21.76666653,3.871023249,9.530840351,"multiFamily","multi",12,18,"TL","p","",""
"Orgyia detrita","Orgyia detrita",30.5718603,27.9470725,29.6144075,16.23333359,1.314016661,20.73111499,"multiFamily","single",15,17,"TL","","",""
"Orgyia leucostigma","Orgyia leucostigma",45.4367598,33.6221959,40.9442715,28.35416591,4.483874634,10.75461753,"multiFamily","multi",15,22,"TL","","",""
"Oxydia vesulia","Oxydia vesulia",27.8817998,8.7052016,11,15.98749924,2.346241164,23.73563033,"Genus","multi",55,55,"WS","p","",""
"Palpita magniferalis","Palpita magniferalis",45.4975108,32.6664898,40.521867,22.37500024,5.178165336,10.96198938,"Genus","multi",23,27,"WS","p","",""
"Palthis asopialis","Palthis asopialis",42.361315,30.3866463,38.7113695,21.52500057,4.104806143,13.44647628,"multiFamily","multi",12,16,"TL","p","",""
"Pangrapta decoralis","Pangrapta decoralis",45.095011,32.4880002,38.753115,24.0291671,4.631186623,12.10559895,"Family","multi",11,15,"TL","","",""
"Panopoda carneicosta","Panopoda carneicosta",41.8849063,30.2310567,35.5445035,18.63333225,4.065067727,14.49721058,"Genus","multi",21,15,"TL","p","",""
"Panopoda repanda","Siavana repanda",32.7543083,27.20382833,29.862735,16.81666565,2.342541826,20.32531052,"species","multi",21,25,"TL","","",""
"Panopoda rufimargo","Panopoda rufimargo",44.3046078,32.523703,39.26337,20.81666708,4.374612608,12.02559454,"Family","multi",22,25,"TL","p","",""
"Pantographa limata","Pantographa limata",44.705719,33.927904,41.377713,23.36666584,4.503083568,10.3412727,"multiFamily","multi",36,38,"WS","p","",""
"Paonias excaecata","Paonias excaecata",46.9667114,35.9081486,43.408534,23.85416645,3.784731481,8.291399896,"multiFamily","multi",35,50,"TL","p","",""
"Patalene olyzonaria","Patalene olyzonaria",42.6709878,32.9541144,39.010672,23.75000024,3.467242024,12.55632441,"Family","multi",32,39,"WS","","",""
"Peridea angulosa","Lophodonta angulosa",44.705813,30.4179592,40.253394,22.12083399,5.063088589,11.82932122,"genus","multi",19,26,"TL","","",""
"Pero honestaria","Pero honestaria",45.4998236,39.6000866,42.7842235,26.00000095,3.007671625,8.371439911,"multiFamily","multi",34,36,"WS","p","",""
"Phaeoura quernaria","Phaeoura quernaria",45.0678097,30.2088723,41.0904325,22.7833329,5.185559122,11.36478557,"multiFamily","multi",37,57,"WS","p","missing?",""
"Phalaenostola larentioides","Phalaenostola larentioides",44.7056278,35.21696,41.336045,17.50833249,3.505694736,10.23898173,"multiFamily","multi",10,13,"TL","p","",""
"Phigalia denticulata","Phigalia denticulata",39.26802,31.634641,34.562423,13.38333368,2.684881902,15.61509625,"multiFamily","uni",30,37,"WS","p","",""
"Phigalia strigataria","Phigalia strigataria",43.4654839,29.8344103,33.39568,21.92083293,5.192629799,14.95968461,"multiFamily","uni",30,38,"WS","p","missing?",""
"Phigalia titea","Phigalia titea",45.3192403,30.4178892,43.217815,21.39583385,4.737453623,9.319089566,"multiFamily","uni",30,40,"WS","p","",""
"Phoberia atomaris","Phoberia atomaris",42.44926,29.9911366,33.513653,26.88749909,4.419284272,15.367416,"genus","single",18,23,"TL","","",""
"Phyllodesma americana","Phyllodesma americana",49.441084,35.5445039,44.6575395,28.72916603,4.437463008,7.615588143,"multiFamily","uni",15,25,"TL","p","",""
"Phyllodesma occidentis","Phyllodesma occidentis",32.8509984,29.9801246,30.637541,9.133333206,1.362579249,18.99053671,"unk","uni",15,25,"TL","p","",""
"Phyprosopus callitrichoides","Phyprosopus callitrichoides",38.6390732,29.5908674,32.478869,18.9124999,2.941168526,17.64967471,"Genus","multi",16,18,"TL","p","",""
"Pilocrocis ramentalis","Pilocrocis ramentalis",39.3725164,10.6137179,30.1037805,26.53749949,4.837505207,18.92019418,"multiFamily","single",24,29,"WS","","",""
"Platynota rostrana","Platynota rostrana",32.857028,26.1010875,30.25613,16.70000076,2.092773372,20.18779473,"multiFamily","multi",7,10,"TL","p","",""
"Pleuroprucha insulsaria","Pleuroprucha insulsaria",44.1355864,30.1597885,39.121601,25.85833347,4.790039786,12.79250953,"multiFamily","multi",14,20,"WS","p","",""
"Plusiodonta compressipalpis","Plusiodonta compressipalpis",38.2035678,26.2054249,32.4876845,22.98749948,3.725957515,17.86200304,"Genus","multi",14,18,"TL","p","",""
"Polygrammate hebraeicum","Polygrammate hebraeicum",41.3116922,30.9429768,36.883826,16.23333359,3.420798989,13.88350362,"genus","multi",13,15,"TL","","",""
"Polygrammodes flavidalis","Polygrammodes flavidalis",42.0234568,32.3572796,39.221475,21.30000019,3.540454411,12.49526853,"Species","multi",24,35,"WS","p","",""
"Prionoxystus robiniae","Prionoxystus robiniae",42.8040874,27.6489854,35.010654,25.529167,5.215940994,15.4668619,"multiFamily","multi",27,45,"TL","p","",""
"Prochoerodes lineola","Prochoerodes lineola",45.3881756,32.631664,41.232763,26.7958343,4.566018155,10.52232186,"multiFamily","multi",43,46,"WS","","",""
"Prolimacodes badia","Prolimacodes badia",42.4394941,30.0982299,38.741797,24.34166741,4.143148107,13.34813511,"multiFamily","multi",12,17,"TL","p","",""
"Properigea tapeta","Properigea tapeta",32.7070968,29.0429196,30.9212005,6.0625,1.421826463,19.09218764,"unk","multi",13,15,"TL","p","",""
"Prosoparia floridana","Prosoparia floridana",30.4600269,27.1782,27.619354,5.783334732,1.430322901,21.33930569,"unk","multi",11,15,"TL","p","missing?",""
"Psamatodes abydata","Macaria abydata",32.3115503,21.0165116,27.8767215,20.9041667,2.332806299,21.07539651,"multiFamily","multi",26,34,"WS","p","",""
"Psaphida resumens","Psaphida resumens",42.9620439,30.1980817,35.544488,20.02500057,4.77866604,14.27433969,"Genus","uni",20,21,"TL","p","",""
"Pseudanthracia coracias","Zale coracias",34.0278125,27.5137705,29.686476,8.795832634,1.957835407,20.12161441,"unk","multi",34,35,"WS","p","missing?","Zale coracias"
"Ptichodis herbarum","Ptichodis herbarum",35.190115,30.6029276,33.216944,15.29583406,1.871356457,17.34004765,"Genus","multi",15,18,"TL","p","",""
"Ptichodis vinculum","Ptichodis vinculum",30.422626,27.1804158,29.4246515,12.89583397,1.605290974,21.03232567,"unk","multi",23,23,"TL","p","",""
"Pyralis manihotalis","Pyralis manihotalis",29.659879,-18.121056,12.927349,14.66666698,2.781617683,23.22393345,"unk","multi",8,10,"TL","p","",""
"Pyrrharctia isabella","Pyrrharctia isabella",46.590406,37.7754354,42.4470655,28.28749979,3.11621302,9.557780472,"multiFamily","multi",24,33,"TL","p","",""
"Renia flavipunctalis","Renia flavipunctalis",45.649991,36.3167068,43.820592,22.7333328,3.698889671,7.976378174,"multiFamily","multi",16,17,"TL","p","",""
"Renia fraternalis","Renia fraternalis",36.19709,27.3308012,32.5205555,12.85416698,3.282992872,17.89463384,"multiFamily","multi",14,16,"TL","p","",""
"Samea ecclesialis","Samea ecclesialis",32.6849404,9.772877,28.560273,20.24166584,2.640082969,21.02839202,"unk","multi",16,20,"WS","p","",""
"Samea multiplicalis","Samea multiplicalis",30.9377294,10.6645,29.668658,18.80000114,1.965497126,20.54439947,"multiFamily","multi",16,20,"WS","p","missing?",""
"Schinia sanguinea","Schinia sanguinea",43.2309179,28.3716848,33.632142,18.59583378,5.070285853,16.0771241,"Species","uni",15,18,"TL","p","",""
"Schinia sordidus","Schinia sordida",35.638868,27.2962975,31.9935715,12.77500057,2.820338744,18.245591,"Genus","uni",10,12,"TL","p","missing?","Schinia sordida"
"Schinia trifascia","Schinia trifascia",41.8468068,29.6682656,35.250384,18.61250067,4.30760692,15.02913367,"Family","uni",12,17,"TL","p","",""
"Schizura ipomoeae","Schizura ipomoeae",49.2003,32.54007,41.5912,21.32916749,4.954737876,11.12364805,"multiFamily","multi",20,25,"TL","","",""
"Schizura leptinoides","Schizura leptinoides",50.67,33.82052,41.746294,24.44583416,5.591813947,9.172151616,"multiFamily","multi",22,26,"TL","p","Oedemasia leptinoides",""
"Coelodasys unicornis","Schizura unicornis",51.98,33.82708,43.540001,25.62499976,5.150893615,9.096865177,"multiFamily","multi",18,25,"TL","p","Schizura unicornis",""
"Scolecocampa liburna","Scolecocampa liburna",41.5763972,30.6084547,37.0166785,23.74583268,3.656373941,13.82369113,"detritus","multi",19,24,"TL","","",""
"Scopula compensata","Scopula compensata",32.7539574,26.1800059,30.1630935,11.88333416,2.286618843,19.68359577,"unk","multi",15,15,"WS","p","missing?",""
"Scopula lautaria","Scopula lautaria",32.5741524,25.8690725,30.0982295,9.262499809,2.142965937,20.37969484,"unk","multi",11,16,"WS","p","",""
"Scopula limboundata","Scopula limboundata",45.5414175,34.803464,41.6488885,22.50833242,3.972368995,9.773897238,"multiFamily","multi",20,31,"WS","p","",""
"Scopula timandrata","Scopula timandrata",31.579845,29.6100244,29.668569,2.274999619,0.773204303,19.93429477,"unk","multi",24,27,"WS","p","",""
"Spilosoma congrua","Spilosoma congrua",45.0829702,32.4797229,37.899643,23.46666646,4.688256756,12.2923456,"multiFamily","multi",19,24,"TL","","",""
"Spilosoma virginica","Spilosoma virginica",48.3976696,32.6911076,42.373178,28.14166737,4.705888213,10.4332481,"multiFamily","multi",17,26,"TL","p","",""
"Spodoptera eridania","Spodoptera eridania",32.9647348,-15.7993186,27.661652,20.09583282,3.168243544,20.79476874,"multiFamily","multi",18,24,"TL","","",""
"Spodoptera frugiperda","Spodoptera frugiperda",42.4746066,21.1727069,30.425734,32.05416727,5.411996411,17.84924671,"multiFamily","multi",16,19,"TL","p","",""
"Spodoptera ornithogalli","Spodoptera ornithogalli",41.4181115,29.583614,34.5070345,27.96250053,4.241336876,15.53909227,"multiFamily","multi",18,24,"TL","p","",""
"Stenaspilatodes antidiscaria","Stenaspilatodes antidiscaria",39.7642529,29.5746539,34.75819,10.91666603,3.728944337,16.12371036,"unk","multi",28,28,"TL","p","",""
"Symmerista albifrons","Symmerista albifrons",45.1874876,30.4838962,39.243997,22.61250019,5.294082463,11.92547961,"Family","multi",18,22,"TL","","",""
"Tetanolita floridana","Tetanolita floridana",41.1660252,29.0347222,34.9012865,18.32916594,4.234073024,15.46003687,"multiFamily","multi",11,13,"TL","p","",""
"Tetanolita mynesalis","Tetanolita mynesalis",39.1934632,29.8924631,35.684666,18.74166632,3.437326213,15.54654128,"multiFamily","multi",11,13,"TL","p","",""
"Tolype notialis","Tolype notialis",35.8336782,29.8710484,33.261805,13.875,2.981768124,16.80725801,"multiFamily","multi",16,20,"TL","p","",""
"Tornos scolopacinaria","Tornos scolopacinaria",36.5542548,29.3804553,32.4343055,13.22499943,2.503616577,17.89111933,"Family","multi",25,28,"WS","p","",""
"Virbia aurantiaca","Virbia aurantiaca",42.658215,26.5767238,32.680727,28.84166741,5.804644187,16.43731002,"multiFamily","multi",10,14,"TL","p","",""
"Virbia laeta","Virbia laeta",46.7493665,30.098225,42.8684295,24.37916583,6.796805445,10.91771084,"multiFamily","multi",11,13,"TL","p","",""
"Virbia rubicundaria","Virbia rubicundaria",44.4876708,26.6418743,32.23135,20.12083387,5.830402062,16.77264493,"multiFamily","multi",10,12,"TL","p","",""
"Xanthopastis regnatrix","Xanthopastis regnatrix",34.3888152,25.4183976,29.90322,14.26666641,3.027726523,20.46198888,"Family","uni",21,24,"TL","p","",""
"Xestia dilucida","Xestia dilucida",46.2990482,33.9402362,42.300568,19.62916696,4.386845337,9.372377522,"Family","single",18,21,"TL","","",""
"Xystopeplus rufago","Xystopeplus rufago",43.2088178,30.2747185,37.837161,17.7166667,4.439969788,13.60988887,"multiFamily","uni",17,19,"TL","p","",""
"Zale aeruginosa","Zale aeruginosa",48.0781742,32.4069587,41.41666855,24.266666,5.637015646,9.977915068,"multiFamily","multi",35,42,"WS","p","",""
"Zale calycanthata","Zale calycanthata",35.3252204,29.6781233,30.427691,12.29166698,2.510095485,17.91571965,"Genus","uni",42,45,"WS","p","",""
"Zale declarans","Zale declarans",32.379478,27.1702,28.700001,6.091667175,1.493701565,21.17125858,"Species","multi",35,40,"WS","p","",""
"Zale horrida","Zale horrida",46.058701,34.9069806,41.804972,21.98749948,4.299185632,9.594289427,"Genus","multi",35,40,"WS","p","",""
"Zale intenta","Zale intenta",46.629641,33.2626836,42.504775,18.24166703,4.80190967,9.326373082,"Genus","uni",40,45,"WS","p","",""
"Zale lunata","Zale lunata",43.4411194,30.1986526,37.218882,27.94999915,4.539751417,14.21982667,"multiFamily","multi",40,55,"WS","p","",""
"Zale metatoides","Zale metatoides",45.425839,34.2056811,40.2601055,16.5999999,3.976242631,10.77213302,"Genus","uni",32,40,"WS","p","",""
"Zale obliqua","Zale obliqua",40.239826,30.11221,33.831,13.87083244,3.286992314,16.01037519,"Genus","multi",35,40,"WS","p","",""
"Zanclognatha atrilineella","Zanclognatha atrilineella",34.4908907,30.098227,33.188068,7.525000572,1.642088373,17.50684517,"multiFamily","multi",12,15,"TL","p","",""
"Zanclognatha jacchusalis","Zanclognatha jacchusalis",46.6661142,39.7340944,43.274639,25.25833344,2.992564423,7.723379851,"multiFamily","multi",17,18,"TL","p","",""
"Zanclognatha marcidilinea","Zanclognatha marcidilinea",45.082603,35.5444125,41.6842595,19.00416744,3.759696566,9.839359313,"multiFamily","multi",17,18,"TL","p","",""
"Zanclognatha obscuripennis","Zanclognatha obscuripennis",40.1566036,32.37711504,35.7801,13.42916584,2.918688148,14.38909769,"multiFamily","multi",12,15,"TL","p","",""
"Zanclognatha protumnusalis","Zanclognatha protumnusalis",46.1948158,35.5854482,43.359241,19.22916722,3.752313258,8.623800497,"multiFamily","multi",12,13,"TL","p","",""
"Zanclognatha theralis","Zanclognatha theralis",47.3682425,32.818812,41.785064,19.94999975,5.546480579,9.991462254,"multiFamily","multi",12,15,"TL","p","",""
